CURSO;CAMPUS;ANO;SEM;QUANTIDADE
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2013;1;         1
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2013;3;         2
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2014;1;         2
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2014;3;         8
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2015;1;        10
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2015;3;        15
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2016;1;         9
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2016;3;         7
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2017;1;         3
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2017;3;         3
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2018;1;         3
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2019;1;         1
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2019;3;         1
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2020;1;         3
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2020;3;         5
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2021;1;         5
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2021;3;         3
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2022;1;         6
01ABI-ABI - CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;2022;3;         4
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1979;3;         1
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1980;3;         1
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1981;3;         1
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1982;1;         1
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1983;3;         2
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1984;3;         1
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1985;1;         4
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1985;3;         4
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1986;1;         1
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1986;3;         6
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1987;1;         3
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1987;3;         2
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1988;1;         4
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1988;3;         3
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1989;1;         3
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1989;3;         3
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1990;1;         1
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1990;3;        10
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1991;1;         8
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1991;3;         9
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1992;1;         2
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1992;3;         9
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1993;1;         5
01A-CIÊNCIAS BIOLÓGICAS;JUIZ DE FORA;1993;3;        12
